MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice
60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0,856,208500
20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0,1262,181500
60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0,920,223500
70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0,756,140000
60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0,1145,250000
50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0,796,143000
20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0,1686,307000
60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32,1107,200000
50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0,952,129900
190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0,991,118000
20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0,1040,129500
60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0,1175,345000
20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0,912,144000
20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0,1494,279500
20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0,1253,157000
45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0,832,132000
20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0,1004,149000
90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0,0,90000
20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0,1114,159000
20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0,1029,139000
60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0,1158,325300
45,RM,7449,Inside,1Fam,7,1930,1950,Wd Sdng,0,637,139400
20,RL,9742,Inside,1Fam,5,2002,2002,VinylSd,0,1777,230000
120,RM,4224,Inside,TwnhsE,7,1976,1976,CemntBd,0,1040,129900
20,RL,8246,Inside,1Fam,8,1968,2001,Plywood,668,1060,154000
20,RL,14230,Corner,1Fam,5,2007,2007,VinylSd,0,1566,256300
20,RL,7200,Corner,1Fam,7,1951,2000,Wd Sdng,486,900,134800
20,RL,11478,Inside,1Fam,5,2007,2008,VinylSd,0,1704,306000
20,RL,16321,CulDSac,1Fam,6,1957,1997,MetalSd,0,1484,207500
30,RM,6324,Inside,1Fam,6,1927,1950,MetalSd,0,520,68500
70,C (all),8500,Inside,1Fam,4,1920,1950,BrkFace,0,649,40000
20,RL,8544,CulDSac,1Fam,6,1966,2006,HdBoard,0,1228,149350
20,RL,11049,Corner,1Fam,5,2007,2007,VinylSd,0,1234,179900
20,RL,10552,Inside,1Fam,5,1959,1959,BrkFace,0,1398,165500
120,RL,7313,Inside,TwnhsE,5,2005,2005,MetalSd,0,1561,277500
60,RL,13418,Inside,1Fam,5,2004,2005,VinylSd,0,1117,309000
20,RL,10859,Corner,1Fam,5,1994,1995,VinylSd,0,1097,145000
20,RL,8532,Inside,1Fam,6,1954,1990,Wd Sdng,0,1297,153000
20,RL,7922,Inside,1Fam,7,1953,2007,VinylSd,0,1057,109000
90,RL,6040,Inside,Duplex,5,1955,1955,AsbShng,0,0,82000
20,RL,8658,Inside,1Fam,5,1965,1965,Wd Sdng,0,1088,160000
20,RL,16905,Inside,1Fam,6,1959,1959,VinylSd,0,1350,170000
85,RL,9180,CulDSac,1Fam,7,1983,1983,HdBoard,93,840,144000
20,RL,9200,CulDSac,1Fam,6,1975,1980,VinylSd,491,938,130250
20,RL,7945,Inside,1Fam,6,1959,1959,BrkFace,506,1150,141000
120,RL,7658,Inside,TwnhsE,5,2005,2005,MetalSd,0,1752,319900
50,RL,12822,CulDSac,1Fam,5,2003,2003,VinylSd,0,1434,239686
20,FV,11096,Inside,1Fam,5,2006,2006,VinylSd,0,1656,249700
190,RM,4456,Inside,2fmCon,5,1920,2008,MetalSd,0,736,113000
20,RL,7742,Inside,1Fam,7,1966,1966,HdBoard,0,955,127000
60,RL,13869,Corner,1Fam,6,1997,1997,VinylSd,0,794,177000
50,RM,6240,Inside,1Fam,6,1934,1950,Wd Sdng,0,816,114500
90,RM,8472,Corner,Duplex,5,1963,1963,Wd Sdng,712,816,110000
20,RL,50271,Inside,1Fam,5,1981,1987,WdShing,0,1842,385000
80,RL,7134,Inside,1Fam,5,1955,1955,MetalSd,0,384,130000
20,RL,10175,Inside,1Fam,5,1964,1964,HdBoard,0,1425,180500
160,FV,2645,Inside,Twnhs,5,1999,2000,MetalSd,0,970,172500
60,RL,11645,Corner,1Fam,5,2004,2004,VinylSd,0,860,196500
60,RL,13682,CulDSac,1Fam,5,2006,2006,VinylSd,0,1410,438780
20,RL,7200,Inside,1Fam,7,1972,1972,HdBoard,0,780,124900
20,RL,13072,Inside,1Fam,5,2004,2004,VinylSd,0,1158,158000
75,RM,7200,Inside,1Fam,7,1920,1996,MetalSd,0,530,101000
120,RL,6442,Inside,TwnhsE,5,2006,2006,VinylSd,0,1370,202500
70,RM,10300,Inside,1Fam,6,1921,1950,Stucco,0,576,140000
60,RL,9375,Inside,1Fam,5,1997,1998,VinylSd,0,1057,219500
60,RL,9591,Inside,1Fam,5,2004,2005,VinylSd,0,1143,317000
20,RL,19900,Inside,1Fam,5,1970,1989,Plywood,0,1947,180000
20,RL,10665,Inside,1Fam,5,2003,2003,VinylSd,0,1453,226000
30,RM,4608,Corner,1Fam,6,1945,1950,MetalSd,0,747,80000
50,RL,15593,Corner,1Fam,4,1953,1953,BrkFace,0,1304,225000
20,RL,13651,Inside,1Fam,6,1973,1973,Plywood,0,2223,244000
20,RL,7599,Corner,1Fam,6,1982,2006,HdBoard,0,845,129500
60,RL,10141,Corner,1Fam,5,1998,1998,VinylSd,0,832,185000
20,RL,10200,Inside,1Fam,7,1954,2003,Wd Sdng,362,1086,144900
50,RM,5790,Corner,1Fam,6,1915,1950,VinylSd,0,840,107400
180,RM,1596,Inside,Twnhs,5,1973,1973,CemntBd,0,462,91000
20,RL,8475,Inside,1Fam,7,1956,1956,VinylSd,0,952,135750
50,RM,8635,Inside,1Fam,5,1948,2001,Wd Sdng,41,672,127000
90,RL,10778,Inside,Duplex,5,1968,1968,HdBoard,0,1768,136500
50,RM,10440,Corner,1Fam,6,1910,1981,Wd Sdng,0,440,110000
60,RL,13000,Corner,1Fam,6,1968,1968,VinylSd,0,896,193500
120,RM,4500,FR2,TwnhsE,5,1998,1998,VinylSd,0,1237,153500
20,RL,10206,Inside,1Fam,5,2007,2007,VinylSd,0,1563,245000
20,RL,8892,Inside,1Fam,5,1960,1960,MetalSd,0,1065,126500
80,RL,8530,Inside,1Fam,5,1995,1996,HdBoard,0,384,168500
60,RL,16059,Corner,1Fam,5,1991,1992,HdBoard,0,1288,260000
60,RL,11911,Inside,1Fam,5,2005,2005,VinylSd,0,684,174000
160,FV,3951,Corner,TwnhsE,5,2009,2009,VinylSd,0,612,164500
50,C (all),8470,Corner,1Fam,2,1915,1982,Plywood,0,1013,85000
20,RL,8070,Inside,1Fam,5,1994,1995,VinylSd,0,990,123600
20,RL,7200,Inside,1Fam,5,1950,1950,BrkFace,0,0,109900
20,RL,8500,Inside,1Fam,3,1961,1961,HdBoard,0,1235,98600
30,RL,13360,Inside,1Fam,7,1921,2006,Wd Sdng,0,876,163500
190,C (all),7200,Corner,2fmCon,6,1910,1998,MetalSd,0,1214,133900
60,RL,9337,Inside,1Fam,5,1997,1997,VinylSd,0,824,204750
60,RL,9765,Corner,1Fam,8,1993,1993,VinylSd,0,680,185000
20,RL,10264,Inside,1Fam,5,1999,1999,VinylSd,0,1588,214000
20,RL,10921,Inside,1Fam,5,1965,1965,HdBoard,0,960,94750
30,RL,10625,Corner,1Fam,5,1920,1950,Wd Sdng,0,458,83000
20,RL,9320,Inside,1Fam,5,1959,1959,Plywood,0,950,128950
20,RL,10603,Inside,1Fam,7,1977,2001,Plywood,0,1610,205000
60,RL,9206,Inside,1Fam,5,1985,1985,HdBoard,0,741,178000
90,RL,7018,Inside,Duplex,5,1979,1979,HdBoard,0,0,118964
20,RL,10402,Corner,1Fam,5,2009,2009,VinylSd,0,1226,198900
50,RM,7758,Corner,1Fam,4,1931,1950,Stucco,0,1040,169500
60,FV,9375,Inside,1Fam,5,2003,2004,VinylSd,0,1053,250000
30,RM,10800,Inside,1Fam,7,1885,1995,VinylSd,0,641,100000
20,RM,6000,Inside,1Fam,5,1948,1950,VinylSd,169,789,115000
50,RM,8500,Corner,1Fam,7,1919,2005,CemntBd,0,793,115000
20,RL,11751,Inside,1Fam,6,1977,1977,Plywood,0,1844,190000
50,RL,9525,Inside,1Fam,4,1954,1972,Wd Sdng,0,994,136900
80,RL,7750,Inside,1Fam,5,2000,2000,VinylSd,0,384,180000
60,RL,9965,Inside,1Fam,5,2007,2007,VinylSd,0,1264,383970
20,RL,21000,Corner,1Fam,5,1953,1953,Wd Sdng,869,1809,217000
70,RL,7259,Inside,1Fam,8,1945,2002,Wd Sdng,150,1028,259500
160,FV,3230,Corner,TwnhsE,5,1999,1999,MetalSd,0,729,176000
20,RL,11616,Inside,1Fam,5,1962,1962,Wd Sdng,670,1092,139000
20,RL,8536,Corner,1Fam,5,2006,2007,VinylSd,0,1125,155000
60,RL,12376,Corner,1Fam,5,1990,1990,Plywood,0,1673,320000
60,RL,8461,Inside,1Fam,5,2005,2006,VinylSd,0,728,163990
80,RL,21453,CulDSac,1Fam,5,1969,1969,Plywood,0,938,180000
50,RM,6060,Inside,1Fam,5,1939,1950,AsbShng,0,732,100000
20,RL,9464,Corner,1Fam,7,1958,1958,MetalSd,0,1080,136000
120,RL,7892,Inside,TwnhsE,5,1993,1993,Plywood,0,1199,153900
20,RL,17043,CulDSac,1Fam,5,1979,1998,HdBoard,0,1362,181000
190,RM,6780,Inside,2fmCon,8,1935,1982,Wd Sdng,0,520,84500
120,RL,4928,Inside,TwnhsE,5,1976,1976,Plywood,0,1078,128000
45,RM,4388,Inside,1Fam,7,1930,1950,WdShing,0,672,87000
60,RL,7590,Inside,1Fam,5,1966,1966,VinylSd,0,660,155000
20,RL,8973,Inside,1Fam,7,1958,1991,Plywood,28,1008,150000
60,RL,14200,Corner,1Fam,6,1966,1966,MetalSd,0,924,226000
60,RL,12224,Corner,1Fam,5,2000,2000,VinylSd,0,992,244000
20,RL,7388,Corner,1Fam,6,1959,2002,MetalSd,0,1063,150750
20,RL,6853,Inside,1Fam,5,2001,2002,VinylSd,0,1267,220000
20,RL,10335,Inside,1Fam,6,1968,1993,Plywood,0,1461,180000
20,RL,10400,Inside,1Fam,6,1970,1970,Plywood,0,1304,174000
20,RL,10355,Corner,1Fam,5,1967,1967,MetalSd,0,1214,143000
90,RL,11070,Inside,Duplex,5,1988,1989,VinylSd,0,1907,171000
60,RL,9066,Inside,1Fam,5,1999,2000,VinylSd,0,1004,230000
60,RL,15426,Inside,1Fam,5,1997,1997,VinylSd,0,928,231500
20,RL,10500,FR2,1Fam,5,1971,1971,HdBoard,0,864,115000
20,RL,11645,Inside,1Fam,5,2005,2005,VinylSd,0,1734,260000
50,RL,8520,Corner,1Fam,4,1952,1952,BrkFace,0,910,166000
20,RL,10335,Inside,1Fam,5,1999,1999,VinylSd,0,1490,204000
90,RM,9100,Inside,Duplex,5,1963,1963,HdBoard,0,1728,125000
160,RM,2522,Inside,Twnhs,5,2004,2006,VinylSd,0,970,130000
30,RM,6120,Corner,1Fam,7,1931,1993,Wd Sdng,0,715,105000
60,RL,9505,CulDSac,1Fam,5,2001,2001,VinylSd,0,884,222500
20,RL,7500,Inside,1Fam,5,2004,2005,VinylSd,0,1080,141000
50,RM,6240,Inside,1Fam,4,1936,1950,MetalSd,0,896,115000
20,RL,10356,Corner,1Fam,6,1975,1975,HdBoard,0,969,122000
20,RL,13891,Inside,1Fam,5,2007,2008,VinylSd,0,1710,372402
60,RL,14803,CulDSac,1Fam,5,1971,1971,HdBoard,0,825,190000
20,RL,13500,Inside,1Fam,7,1960,1975,BrkFace,1080,1602,235000
30,RM,11340,Corner,1Fam,5,1923,1950,Wd Sdng,0,1200,125000
50,RL,9600,Corner,1Fam,5,1924,1950,Wd Sdng,0,572,79000
20,RL,7200,Inside,1Fam,7,1950,1950,Wd Sdng,0,0,109500
60,RL,12003,Corner,1Fam,5,2009,2010,VinylSd,0,774,269500
60,FV,12552,Corner,1Fam,5,2004,2005,VinylSd,0,991,254900
60,RL,19378,Corner,1Fam,5,2005,2006,VinylSd,0,1392,320000
20,RL,11120,CulDSac,1Fam,6,1984,1984,Plywood,0,1232,162500
60,RL,13688,Inside,1Fam,5,2003,2004,VinylSd,0,1572,412500
20,RL,12182,Corner,1Fam,5,2005,2005,VinylSd,0,1541,220000
45,RL,5500,Inside,1Fam,6,1956,1956,MetalSd,0,882,103200
40,RM,5400,Corner,1Fam,7,1926,2004,MetalSd,0,1149,152000
190,RL,10106,Inside,2fmCon,7,1940,1999,Wd Sdng,181,644,127500
20,RL,10708,Inside,1Fam,5,1955,1993,Wd Sdng,768,1617,190000
60,RL,10562,Inside,1Fam,5,2007,2007,VinylSd,0,1582,325624
60,RL,8244,Inside,1Fam,5,2004,2004,VinylSd,0,840,183500
20,RL,16669,Corner,1Fam,6,1981,1981,Plywood,0,1686,228000
50,RM,12358,Inside,1Fam,6,1941,1950,MetalSd,0,720,128500
20,RL,31770,Corner,1Fam,5,1960,1960,BrkFace,0,1080,215000
160,RL,5306,Inside,TwnhsE,7,1987,1987,HdBoard,215,1064,239000
20,RL,10197,Inside,1Fam,5,1961,1961,WdShing,374,1362,163000
20,RL,12416,Inside,1Fam,5,1986,1986,VinylSd,208,1606,184000
20,RL,12615,Corner,1Fam,7,1950,2001,WdShing,0,1202,243000
60,RL,10029,Corner,1Fam,5,1988,1989,Plywood,0,1151,211000
50,RL,13650,Inside,1Fam,5,1958,1958,MetalSd,441,1052,172500
20,RL,17423,CulDSac,1Fam,5,2008,2009,VinylSd,0,2216,501837
30,RM,8520,Inside,1Fam,6,1923,2006,Wd Sdng,0,968,100000
160,FV,2117,Inside,Twnhs,5,2000,2000,MetalSd,0,756,177000
70,RL,7588,Inside,1Fam,6,1920,1950,Stucco,0,793,200100
20,RL,9060,Inside,1Fam,6,1957,2006,Wd Sdng,0,0,120000
50,RM,11426,Inside,1Fam,5,2003,2003,VinylSd,0,1362,200000
50,RL,7438,Inside,1Fam,8,1908,1991,AsbShng,0,504,127000
75,RM,22950,Inside,1Fam,9,1892,1993,Wd Sdng,0,1107,475000
80,RL,9947,CulDSac,1Fam,5,1990,1991,HdBoard,0,1188,173000
50,RL,10410,Inside,1Fam,7,1916,1987,HdBoard,0,660,135000
90,RL,7018,Inside,Duplex,5,1979,1979,Plywood,0,1086,153337
120,RL,4923,Inside,TwnhsE,5,2001,2002,CemntBd,0,1593,286000
70,RL,10570,Inside,1Fam,8,1932,1994,BrkFace,0,853,315000
60,RL,7472,CulDSac,1Fam,9,1972,2004,HdBoard,0,725,184000
20,RL,9017,Inside,1Fam,5,1999,1999,VinylSd,0,1431,192000
160,RM,2522,Inside,Twnhs,5,2004,2004,VinylSd,0,970,130000
20,RL,7180,Inside,1Fam,7,1972,1972,HdBoard,0,864,127000
160,RL,2280,FR2,Twnhs,6,1976,1976,Plywood,0,855,148500
